vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,km_per_year,power_per_cc,brand_popularity,model_rarity,fuel_type_diesel,fuel_type_electric,fuel_type_lpg,fuel_type_petrol,transmission_type_manual,seller_type_individual,seller_type_trustmark dealer,mileage_bucket_medium,mileage_bucket_high,mileage_bucket_very_high
2,39000,18.6,1197,81.83,5,655000.0,13000.0,0.06836257309941521,0.1939278438588421,0.05901294604718407,False,False,False,True,True,False,False,True,False,False
14,56000,17.8,1086,63.0,5,125000.0,3733.3333333333335,0.058011049723756904,0.1939278438588421,0.009003088650851022,False,False,False,True,True,False,False,True,False,False
3,34000,18.6,1197,81.83,5,550000.0,8500.0,0.06836257309941521,0.1939278438588421,0.05901294604718407,False,False,False,True,True,True,False,True,False,False
4,50000,15.4,1997,120.0,7,1150000.0,10000.0,0.06009013520280421,0.06565025957810344,0.01780902937504107,True,False,False,False,True,True,False,True,False,False
9,77400,20.54,1598,103.6,5,500000.0,7740.0,0.06483103879849812,0.040349608989945454,0.016100414010645988,True,False,False,False,True,True,False,False,True,False
2,36000,17.3,1497,121.0,7,990000.0,12000.0,0.08082832331329326,0.06565025957810344,0.0015771834132877703,True,False,False,False,True,True,False,True,False,False
8,47876,25.0,1493,113.42,5,551000.0,5319.555555555556,0.07596784996651039,0.1939278438588421,0.032069396070184664,True,False,False,False,True,False,False,False,True,False
3,21500,15.1,2179,152.87,7,1650000.0,5375.0,0.07015603487838458,0.06565025957810344,0.02148912400604587,True,False,False,False,False,True,False,True,False,False
6,75000,24.0,1120,70.0,5,350000.0,10714.285714285714,0.0625,0.1939278438588421,0.03739239009003088,True,False,False,False,True,False,False,False,True,False
4,58000,18.16,1196,86.8,5,500000.0,11600.0,0.0725752508361204,0.05099559702963791,0.004140106459880397,False,False,False,True,True,False,False,True,False,False
3,30000,21.21,1197,81.8,5,575000.0,7500.0,0.0683375104427736,0.32325688374843925,0.05750147860944996,False,False,False,True,True,True,False,False,True,False
3,50000,24.0,1186,73.97,5,545000.0,12500.0,0.062369308600337264,0.1939278438588421,0.03739239009003088,True,False,False,False,True,True,False,False,True,False
4,19093,18.16,1196,86.8,5,525000.0,3818.6,0.0725752508361204,0.05099559702963791,0.01767759742393376,False,False,False,True,True,False,True,True,False,False
7,50000,18.0,1198,86.7,5,400000.0,6250.0,0.07237061769616027,0.09699677991719786,0.023657751199316554,False,False,False,True,True,True,False,True,False,False
15,37000,14.0,1061,64.0,5,155000.0,2312.5,0.060320452403393024,0.32325688374843925,0.046264046789774596,False,False,False,True,True,False,False,False,False,False
5,47000,26.59,1248,74.0,5,545000.0,7833.333333333333,0.05929487179487179,0.32325688374843925,0.05750147860944996,True,False,False,False,True,False,False,False,False,True
8,70000,16.8,1497,116.3,5,545000.0,7777.777777777777,0.07768871075484302,0.09699677991719786,0.04928698166524282,False,False,False,True,True,True,False,True,False,False
5,25000,25.17,799,53.3,5,240000.0,4166.666666666667,0.06670838548185232,0.03463231911677729,0.01964907669054347,False,False,False,True,True,True,False,False,False,True
3,26000,24.3,1248,88.5,5,725000.0,6500.0,0.07091346153846154,0.32325688374843925,0.0189919169350069,True,False,False,False,True,False,False,False,True,False
4,30000,18.16,1196,86.8,5,480000.0,6000.0,0.0725752508361204,0.05099559702963791,0.004140106459880397,False,False,False,True,True,True,False,True,False,False
8,15000,18.5,1197,82.9,5,375000.0,1666.6666666666667,0.06925647451963242,0.1939278438588421,0.05901294604718407,False,False,False,True,True,True,False,True,False,False
10,160000,17.8,1248,75.0,5,225000.0,14545.454545454546,0.06009615384615385,0.32325688374843925,0.05086416507853059,True,False,False,False,True,True,False,True,False,False
4,32100,23.84,1199,84.0,5,400000.0,6420.0,0.07005838198498748,0.027666425708089637,0.009331668528619308,False,False,False,True,True,True,False,False,True,False
5,22000,18.5,1197,82.9,5,550000.0,3666.6666666666665,0.06925647451963242,0.1939278438588421,0.05901294604718407,False,False,False,True,True,False,False,True,False,False
5,44000,15.4,2179,120.0,7,1050000.0,7333.333333333333,0.05507113354749885,0.06565025957810344,0.01780902937504107,True,False,False,False,True,False,False,True,False,False
5,78000,18.78,1198,74.0,5,450000.0,13000.0,0.06176961602671119,0.040349608989945454,0.024249194979299466,False,False,False,True,True,False,False,True,False,False
9,74352,11.74,1796,186.0,5,775000.0,7435.2,0.10356347438752785,0.021357692054938555,0.007623053164224223,False,False,False,True,False,False,False,False,False,False
7,37000,20.51,998,67.04,5,350000.0,4625.0,0.06717434869739479,0.32325688374843925,0.046264046789774596,False,False,False,True,True,True,False,False,True,False
7,69000,25.1,1498,98.6,5,550000.0,8625.0,0.06582109479305741,0.09699677991719786,0.04928698166524282,True,False,False,False,True,False,False,False,False,True
2,12120,16.8,1497,113.4,5,1080000.0,4040.0,0.07575150300601202,0.002102911217717027,0.0018400473155023985,False,False,False,True,True,True,False,True,False,False
5,52000,21.01,1197,81.8,5,575000.0,8666.666666666666,0.0683375104427736,0.32325688374843925,0.02378918315042387,False,False,False,True,True,False,False,False,True,False
5,120000,12.99,2494,100.6,8,950000.0,20000.0,0.04033680834001604,0.05184990471183545,0.03574949070118946,True,False,False,False,True,True,False,False,False,False
8,55000,22.74,796,47.3,5,230000.0,6111.111111111111,0.059422110552763814,0.32325688374843925,0.049878425445225735,False,False,False,True,True,True,False,False,True,False
10,160000,21.9,1396,90.0,5,270000.0,14545.454545454546,0.06446991404011461,0.1939278438588421,0.05901294604718407,True,False,False,False,True,True,False,False,True,False
10,40000,15.6,1196,70.0,5,130000.0,3636.3636363636365,0.05852842809364549,0.05099559702963791,0.01767759742393376,False,False,False,True,True,True,False,True,False,False
9,46000,19.1,1197,85.8,5,370000.0,4600.0,0.07167919799498747,0.32325688374843925,0.05750147860944996,False,False,False,True,True,False,False,True,False,False
4,25000,21.4,1197,83.1,5,570000.0,5000.0,0.06942355889724311,0.32325688374843925,0.02378918315042387,False,False,False,True,True,False,False,False,True,False
8,90000,22.07,1199,73.9,5,365000.0,10000.0,0.06163469557964971,0.040349608989945454,0.024249194979299466,True,False,False,False,True,False,False,False,True,False
9,49566,18.5,1197,82.85,5,280000.0,4956.6,0.06921470342522974,0.1939278438588421,0.05901294604718407,False,False,False,True,True,False,False,True,False,False
3,14000,22.0,1582,126.2,5,1250000.0,3500.0,0.0797724399494311,0.1939278438588421,0.032069396070184664,True,False,False,False,False,False,False,False,True,False
5,11000,18.6,1197,81.83,5,590000.0,1833.3333333333333,0.06836257309941521,0.1939278438588421,0.05901294604718407,False,False,False,True,True,False,False,True,False,False
3,5000,23.1,998,67.04,5,475000.0,1250.0,0.06717434869739479,0.32325688374843925,0.01537753827955576,False,False,False,True,False,True,False,False,True,False
4,55000,23.0,1498,98.96,5,685000.0,11000.0,0.06606141522029373,0.05099559702963791,0.024380626930406782,True,False,False,False,True,False,False,False,True,False
9,65000,19.08,1582,126.32,5,380000.0,6500.0,0.07984829329962073,0.1939278438588421,0.032069396070184664,True,False,False,False,False,False,False,True,False,False
3,22000,23.01,999,67.0,5,330000.0,5500.0,0.06706706706706707,0.03463231911677729,0.01964907669054347,False,False,False,True,True,True,False,False,True,False
3,7671,21.01,1197,81.8,5,650000.0,1917.75,0.0683375104427736,0.32325688374843925,0.02378918315042387,False,False,False,True,True,False,True,False,True,False
5,66000,20.51,998,67.04,5,325000.0,11000.0,0.06717434869739479,0.32325688374843925,0.046264046789774596,False,False,False,True,True,True,False,False,True,False
3,45156,21.21,1197,81.8,5,640000.0,11289.0,0.0683375104427736,0.32325688374843925,0.05750147860944996,False,False,False,True,False,False,False,False,True,False
2,25000,18.27,998,118.35,5,949000.0,8333.333333333334,0.1185871743486974,0.1939278438588421,0.0037458106065584545,False,False,False,True,True,True,False,True,False,False
6,120000,23.9,1582,126.2,5,660000.0,17142.85714285714,0.0797724399494311,0.1939278438588421,0.032069396070184664,True,False,False,False,True,True,False,False,True,False
7,28000,16.1,1197,85.0,5,435000.0,3500.0,0.07101086048454469,0.32325688374843925,0.05086416507853059,False,False,False,True,True,False,False,True,False,False
8,55000,21.9,1396,88.76,5,385000.0,6111.111111111111,0.06358166189111748,0.1939278438588421,0.05901294604718407,True,False,False,False,True,False,False,False,True,False
2,14000,22.0,1582,126.2,5,1250000.0,4666.666666666667,0.0797724399494311,0.1939278438588421,0.032069396070184664,True,False,False,False,False,False,False,False,True,False
